user,pc,Rapid_file_access,Out_of_Working_Hours_encoded,numerical_mean,numerical_std,numerical_min,numerical_max,numerical_range,pc_squared,pc_cubed,pc_sqrt,pc_log,user_squared,user_cubed,user_sqrt,user_log,Out_of_Working_Hours_encoded_sqrt,Out_of_Working_Hours_encoded_log,user_bin,user_bin_ew,pc_bin,pc_bin_ew,Rapid_file_access_bin_ew,user_access_frequency,user_access_rank
861,3881,1,1,1186.0,1841.8378502644218,1,3881,3880,15062161,-1673295303,62.29767250869089,8.263848131368933,741321,638277381,29.342801502244125,6.758094504427847,1.00000000005,1.000000082690371e-10,0,0,1,1,3,1,2985
3773,3865,0,1,1909.75,2204.931952842687,0,3865,3865,14938225,1901664777,62.16912416947902,8.259716961021548,14235529,-2123923931,61.424750711745666,8.235625719964338,1.00000000005,1.000000082690371e-10,3,3,1,1,0,2,2946
3093,3575,0,0,1667.0,1934.917569303664,0,3575,3575,12780625,-1553905881,59.79130371550783,8.181720455128136,9566649,-475125715,55.61474624593823,8.036896772685102,1e-05,-23.025850929940457,2,2,1,1,0,4,281
467,7185,0,1,1913.25,3521.3734418074246,0,7185,7185,51624225,1552869169,84.76437931112396,8.87975079851314,218089,101847563,21.610182784976622,6.1463292576691115,1.00000000005,1.000000082690371e-10,0,0,2,2,0,1,2950
4427,9656,0,1,3521.0,4591.546652999038,0,9656,9656,93238336,-1633759744,98.26494797230649,9.175334762777378,19598329,862456563,66.53570470055983,8.395477432732164,1.00000000005,1.000000082690371e-10,3,3,3,3,0,3,1648
3445,6741,0,1,2546.75,3233.4380438371372,0,6741,6741,45441081,1375649005,82.10359310042466,8.815963560853454,11868025,-2064326835,58.694122363317604,8.144679183447789,1.00000000005,1.000000082690371e-10,2,2,2,2,0,2,2949
3172,1277,0,0,1112.25,1499.3234863319744,0,3172,3172,1630729,2082440933,35.73513677041267,7.1522688560326175,10061584,1850573376,56.32051136131578,8.06211758275477,1e-05,-23.025850929940457,2,2,0,0,0,3,1647
2920,1065,0,1,996.5,1377.0229966610336,0,2920,2920,1134225,1207949625,32.63433774416297,6.970730078143619,8526400,-872715776,54.03702434442611,7.979338895262361,1.00000000005,1.000000082690371e-10,2,2,0,0,0,3,1646
131,5262,0,1,1348.5,2609.7252090338297,0,5262,5262,27688644,-331243336,72.53964433328923,8.568266461600256,17161,2248091,11.445523142263966,4.875197323201915,1.00000000005,1.000000082690371e-10,0,0,1,1,0,2,2948
1686,6704,0,1,2097.75,3171.9601064115964,0,6704,6704,44943616,654290944,81.87795796183549,8.810459642161934,2842596,497649560,41.06093033529684,7.43011413856186,1.00000000005,1.000000082690371e-10,1,1,2,2,0,1,2951
770,9594,0,1,2591.25,4682.5716136185965,0,9594,9594,92044836,-1685106392,97.94896630388756,9.16889318206202,592900,456533000,27.748873851025017,6.64639051484786,1.00000000005,1.000000082690371e-10,0,0,3,3,0,5,87
2392,8989,0,1,2845.5,4247.99187852331,0,8989,8989,80802121,480792645,94.81033698917065,9.10375688657341,5721664,801318400,48.90807704255096,7.779885115070564,1.00000000005,1.000000082690371e-10,1,1,3,3,0,2,2947
2434,7255,0,1,2422.5,3419.812714170178,0,7255,7255,52635025,-384982969,85.1762877801099,8.889446165318303,5924356,1534980616,49.33558553417705,7.797291273547514,1.00000000005,1.000000082690371e-10,1,1,2,2,0,4,698
