Out_of_Working_Hours_encoded_log,Out_of_Working_Hours_encoded_sqrt,numerical_max,Out_of_Working_Hours_encoded,user_access_rank,user_bin,numerical_range,numerical_std,pc_sqrt,user,user_sqrt,user_bin_ew,pc_cubed,pc,Rapid_file_access,pc_bin,numerical_min,pc_log,numerical_mean,user_access_frequency,user_log,user_cubed,Rapid_file_access_bin_ew,pc_squared,user_squared,pc_bin_ew
1.0000000826903709e-10,1.00000000005,-0.7905135670821729,1,1.272047087659742,0,-0.7909166190037696,-0.8679632106920939,-0.4989700727762881,-1.1547332029338335,-1.0962013416981278,0,-1.3499424855725741,-0.6225268693865971,1,1,1,-0.3409373913538239,-1.0969991148219613,1,-0.8027582717391245,0.4837998905566288,3,-0.7530087629010485,-1.0309287824890436,1
1.0000000826903709e-10,1.00000000005,-0.7972752007912215,1,1.2382216294839894,3,-0.79725565583338,-0.5405215375081087,-0.5057403321707973,0.8698692879239863,0.8481641563164796,3,1.5146466411735764,-0.6286349609503736,0,1,0,-0.3479062537719188,-0.131856618112406,2,0.718186334305279,-1.923708830402911,0,-0.7572167062165545,0.7787793466717812,1
-23.025850929940457,1e-05,-0.9198298117677275,0,-1.0731846791924526,2,-0.9198103678725121,-0.7840230455247592,-0.6309730762548874,0.39709123374015476,0.4960417789367075,2,-1.2542766228897921,-0.7393441205438245,0,1,0,-0.4794783926471285,-0.45557107901222577,4,0.5136182566559097,-0.4866317908411648,0,-0.8304727294667456,0.1526358864497073,1
1.0000000826903709e-10,1.00000000005,0.6057637938363645,1,1.241690907245605,0,0.6057844957870301,0.6466577659687779,0.6842846757908116,-1.4286663696227007,-1.5648460909611823,0,1.235159294804771,0.6387940385332705,0,2,0,0.6980274997895239,-0.12718926234248068,1,-1.4324986402938902,0.016252699333754346,0,0.48836656638101233,-1.101099421909829,2
1.0000000826903709e-10,1.00000000005,1.6500135997775587,1,0.11244099583970346,3,1.650035162851498,1.6117500227170865,1.3953195469527204,1.3245705341537302,1.1579197304836262,3,-1.3182629339421037,1.582112429414019,0,3,0,1.1966474565425442,2.0167939488282105,3,0.8827348715846803,0.6791923600981739,0,1.9012717772412424,1.4979844126574005,3
1.0000000826903709e-10,1.00000000005,0.4181284584102656,1,1.240823587805201,2,0.4181490056305657,0.3869949187597264,0.5441489653630224,0.6418234029647264,0.6826711086867014,2,1.0931540853830843,0.4692944976384699,0,2,0,0.5904249450892489,0.7176021320140006,2,0.6245675716701761,-1.8717645612649116,0,0.2784330566371861,0.4612734037797812,2
-23.025850929940457,1e-05,-1.0901384608143894,0,0.11157367639929955,2,-1.090119157361375,-1.1768458822067436,-1.8979399717780052,0.4520169194468058,0.5388155309640935,2,1.6595012407395011,-1.6166187713912386,0,0,0,-2.2160580920839466,-1.1953469685453877,3,0.5395801142682395,1.5404256939212542,0,-1.2090401379823241,0.21901161542218295,0
1.0000000826903709e-10,1.00000000005,-1.196634191731905,1,0.11070635695889564,2,-1.196614976098828,-1.287137612875769,-2.061249850899446,0.2768109346610329,0.4004220268222184,2,0.9587778099114793,-1.6975509846112784,0,0,0,-2.522295468002921,-1.3497030915079176,3,0.45436919153907157,-0.8331675538450799,0,-1.2258977151828307,0.013128101209445778,0
1.0000000826903709e-10,1.00000000005,-0.20690005756991503,1,1.239956268364797,0,-0.2068800257690086,-0.17547517580838728,0.04044417706089766,-1.6622743493370644,-2.1808876344250883,0,-0.274566149567031,-0.0953222162881294,0,1,0,0.17258523844309023,-0.8803004540754291,2,-2.74097946220105,-0.07055726502374773,0,-0.3243074595009083,-1.1280458744156763,1
1.0000000826903709e-10,1.00000000005,0.4024921804580907,1,1.242558226686009,1,0.4025127147841936,0.33155353716862734,0.5322654324746902,-0.5811421813137437,-0.38600991113723315,1,0.5151351951605991,0.4551695358972365,0,2,0,0.5811403964271821,0.11884706324358213,1,-0.11099309822234328,0.3612300025487568,0,0.2615428510355193,-0.7491268087012961,2
